data,produto,produto_id,classificacao,unidade,menor,comum,maior
"2026-07-24","PANGASIUS","pangasius","-","KG",9.00,9.50,10.00
"2026-07-24","PINTADO","pintado","-","KG",24.00,24.50,25.00
"2026-07-24","TAMBAQUI","tambaqui","-","KG",12.82,12.94,13.05
"2026-07-24","TILÁPIA","tilapia","-","KG",12.65,12.74,12.86
"2026-07-24","TRUTA","truta","-","KG",36.40,37.95,39.00
"2026-07-27","FILE DE TILAPIA","file-de-tilapia","-","KG",41.75,42.00,42.26
"2026-07-27","PANGASIUS","pangasius","-","KG",9.00,9.50,10.00
"2026-07-27","PINTADO","pintado","-","KG",23.00,24.00,25.00
"2026-07-27","TAMBAQUI","tambaqui","-","KG",12.71,12.81,12.91
"2026-07-27","TILÁPIA","tilapia","-","KG",12.07,12.16,12.26
"2026-07-27","TRUTA","truta","-","KG",36.30,36.40,36.50
"2026-07-29","FILE DE TILAPIA","file-de-tilapia","-","KG",42.34,43.23,44.13
"2026-07-29","PANGASIUS","pangasius","-","KG",8.00,9.00,10.00
"2026-07-29","TILÁPIA","tilapia","-","KG",11.04,11.70,12.06
"2026-07-31","FILE DE TILAPIA","file-de-tilapia","-","KG",42.49,42.85,43.27
"2026-07-31","PANGASIUS","pangasius","-","KG",8.80,8.90,9.00
"2026-07-31","PINTADO","pintado","-","KG",25.00,25.75,26.50
"2026-07-31","TAMBAQUI","tambaqui","-","KG",12.80,12.90,13.00
"2026-07-31","TILÁPIA","tilapia","-","KG",12.31,12.52,12.78
"2026-07-31","TRUTA","truta","-","KG",37.50,38.25,39.00
"2026-08-03","FILE DE TILAPIA","file-de-tilapia","-","KG",42.52,43.41,44.34
"2026-08-03","PANGASIUS","pangasius","-","KG",9.80,9.90,10.00
"2026-08-03","PINTADO","pintado","-","KG",25.50,26.00,26.50
"2026-08-03","TAMBAQUI","tambaqui","-","KG",13.00,13.30,13.50
"2026-08-03","TILÁPIA","tilapia","-","KG",11.83,12.11,12.34
"2026-08-03","TRUTA","truta","-","KG",38.00,38.50,39.00
"2026-08-05","FILE DE TILAPIA","file-de-tilapia","-","KG",42.27,42.84,43.41
"2026-08-05","PINTADO","pintado","-","KG",25.00,25.50,26.00
"2026-08-05","TAMBAQUI","tambaqui","-","KG",12.00,12.50,13.00
"2026-08-05","TILÁPIA","tilapia","-","KG",11.93,12.22,12.45
"2026-08-05","TRUTA","truta","-","KG",37.50,38.25,39.00
