data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
18/03/2026;PESCADOS;FILE DE TILAPIA;-;KG;39,64;41,3;43,24;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
18/03/2026;PESCADOS;TILÁPIA;-;KG;12,0;12,98;12,99;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
18/03/2026;PESCADOS;TRUTA;-;KG;39,67;41,34;42,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
20/03/2026;PESCADOS;FILE DE TILAPIA;-;KG;34,39;37,03;37,85;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
20/03/2026;PESCADOS;PANGASIUS;-;KG;8,0;9,0;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
20/03/2026;PESCADOS;TILÁPIA;-;KG;11,38;12,26;12,83;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
20/03/2026;PESCADOS;TRUTA;-;KG;39,0;40,67;42,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/03/2026;PESCADOS;FILE DE TILAPIA;-;KG;38,52;39,53;40,53;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/03/2026;PESCADOS;PANGASIUS;-;KG;9,0;9,5;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/03/2026;PESCADOS;TILÁPIA;-;KG;11,21;11,82;12,32;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/03/2026;PESCADOS;TRUTA;-;KG;14,21;14,68;15,15;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
25/03/2026;PESCADOS;FILE DE TILAPIA;-;KG;42,54;42,82;43,1;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
25/03/2026;PESCADOS;PANGASIUS;-;KG;28,0;28,0;28,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
25/03/2026;PESCADOS;PINTADO;-;KG;26,0;26,5;27,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
25/03/2026;PESCADOS;TAMBAQUI;-;KG;14,68;14,84;15,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
25/03/2026;PESCADOS;TILÁPIA;-;KG;14,22;14,23;14,24;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
27/03/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,62;42,29;42,97;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
27/03/2026;PESCADOS;PANGASIUS;-;KG;9,8;9,9;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
27/03/2026;PESCADOS;PINTADO;-;KG;23,78;24,28;25,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
27/03/2026;PESCADOS;TAMBAQUI;-;KG;13,41;13,7;14,15;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
27/03/2026;PESCADOS;TILÁPIA;-;KG;12,83;13,5;14,15;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
27/03/2026;PESCADOS;TRUTA;-;KG;39,76;40,45;41,14;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
30/03/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,74;42,6;43,45;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
30/03/2026;PESCADOS;PANGASIUS;-;KG;9,0;9,5;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
30/03/2026;PESCADOS;PINTADO;-;KG;25,0;26,0;27,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
30/03/2026;PESCADOS;TAMBAQUI;-;KG;14,58;15,14;15,7;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
30/03/2026;PESCADOS;TILÁPIA;-;KG;13,57;13,86;14,15;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
30/03/2026;PESCADOS;TRUTA;-;KG;39,07;39,76;40,76;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
31/03/2026;PESCADOS;FILE DE TILAPIA;-;KG;44,28;45,05;45,85;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
31/03/2026;PESCADOS;PINTADO;-;KG;28,0;28,5;29,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
31/03/2026;PESCADOS;TAMBAQUI;-;KG;14,13;14,52;15,1;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
31/03/2026;PESCADOS;TILÁPIA;-;KG;14,1;14,54;15,24;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
